customer_id_pref,geolocation_id_pref
CUS127,GEO17978
CUS128,GEO5379
CUS129,GEO16803
CUS130,GEO8097
CUS131,GEO4315
CUS132,GEO6872
CUS133,GEO3986
CUS134,GEO3571
CUS135,GEO17600
CUS136,GEO17380
CUS137,GEO18354
CUS138,GEO18551
CUS139,GEO14394
CUS140,GEO4782
CUS141,GEO15896
CUS142,GEO2418
CUS143,GEO3404
CUS144,GEO4278
CUS145,GEO14684
CUS146,GEO17505
CUS147,GEO9363
CUS148,GEO3039
CUS149,GEO9757
CUS150,GEO13608
CUS151,GEO9381
CUS152,GEO8279
CUS153,GEO4368
CUS154,GEO4802
CUS155,GEO6605
CUS156,GEO4362
CUS157,GEO15880
CUS158,GEO4412
CUS159,GEO3197
CUS160,GEO2831
CUS161,GEO18434
CUS162,GEO2202
CUS163,GEO8088
CUS164,GEO4622
CUS165,GEO5486
CUS166,GEO8578
CUS167,GEO5932
CUS168,GEO2027
CUS169,GEO14292
CUS170,GEO17551
CUS171,GEO5548
CUS172,GEO6614
CUS173,GEO1372
CUS174,GEO17366
CUS175,GEO6354
CUS176,GEO2232
CUS177,GEO13432
CUS178,GEO16062
CUS179,GEO9137
CUS180,GEO13610
CUS181,GEO5490
CUS182,GEO4878
CUS183,GEO1624
CUS184,GEO4923
CUS185,GEO1025
CUS186,GEO4050
CUS187,GEO4610
CUS188,GEO6605
CUS189,GEO4827
CUS190,GEO8155
CUS191,GEO17035
CUS192,GEO11151
CUS193,GEO3147
CUS194,GEO4952
CUS195,GEO4051
CUS196,GEO13963
CUS197,GEO18389
CUS198,GEO6399
CUS199,GEO18729
CUS200,GEO3828
CUS201,GEO18685
CUS202,GEO15891
CUS203,GEO3551
CUS204,GEO11307
CUS205,GEO2734
CUS206,GEO7936
CUS207,GEO4908
CUS208,GEO584
CUS209,GEO3346
CUS210,GEO7534
CUS211,GEO17842
CUS212,GEO6597
CUS213,GEO13912
CUS214,GEO6049
CUS215,GEO3366
CUS216,GEO15218
CUS217,GEO18308
CUS218,GEO9550
CUS219,GEO6205
CUS220,GEO4337
CUS221,GEO10502
CUS222,GEO6713
CUS223,GEO10870
CUS224,GEO6026
CUS225,GEO4905
CUS226,GEO7519
CUS227,GEO7044
CUS228,GEO7621
CUS229,GEO6511
CUS230,GEO18299
CUS231,GEO6378
CUS232,GEO7782
CUS233,GEO4833
CUS234,GEO6767
CUS235,GEO4787
CUS236,GEO2733
CUS237,GEO10170
CUS238,GEO11669
CUS239,GEO17980
CUS240,GEO6636
CUS241,GEO5733
CUS242,GEO5351
CUS243,GEO7096
CUS244,GEO6838
CUS245,GEO17912
CUS246,GEO5109
CUS247,GEO16577
CUS248,GEO6497
CUS249,GEO3680
CUS250,GEO1409
CUS251,GEO14510
CUS252,GEO4623
CUS253,GEO4921
CUS254,GEO10143
CUS255,GEO4682
CUS256,GEO16609
CUS257,GEO6111
CUS258,GEO8578
CUS259,GEO2044
CUS260,GEO8963
CUS261,GEO11508
CUS262,GEO15523
CUS263,GEO7259
CUS264,GEO4589
CUS265,GEO14307
CUS266,GEO8587
CUS267,GEO4340
CUS268,GEO14553
CUS269,GEO14511
CUS270,GEO4529
CUS271,GEO14983
CUS272,GEO5394
CUS273,GEO5072
CUS274,GEO10111
CUS275,GEO9043
CUS276,GEO17006
CUS277,GEO4969
CUS278,GEO17352
CUS279,GEO16172
CUS280,GEO5816
CUS281,GEO5442
CUS282,GEO2559
CUS283,GEO15829
CUS284,GEO4764
CUS285,GEO1991
CUS286,GEO10609
CUS287,GEO1830
CUS288,GEO16197
CUS289,GEO5700
CUS290,GEO7448
CUS291,GEO17086
CUS292,GEO3557
CUS293,GEO271
CUS294,GEO2331
CUS295,GEO5425
CUS296,GEO8675
CUS297,GEO6839
CUS298,GEO8967
CUS299,GEO17957
CUS300,GEO18367
CUS301,GEO122
CUS302,GEO18005
CUS303,GEO7483
CUS304,GEO12455
CUS305,GEO9651
CUS306,GEO8088
CUS307,GEO14368
CUS308,GEO17095
CUS309,GEO10173
CUS310,GEO1661
CUS311,GEO7533
CUS312,GEO2976
CUS313,GEO6034
CUS314,GEO8214
CUS315,GEO16769
CUS316,GEO6406
CUS317,GEO9433
CUS318,GEO6601
CUS319,GEO7089
CUS320,GEO774
CUS321,GEO2251
CUS322,GEO1495
CUS323,GEO5045
CUS324,GEO7245
CUS325,GEO14687
CUS326,GEO14913
CUS327,GEO18721
CUS328,GEO6756
CUS329,GEO1388
CUS330,GEO4403
CUS331,GEO8842
CUS332,GEO4100
CUS333,GEO4823
CUS334,GEO174
CUS335,GEO6376
CUS336,GEO8204
CUS337,GEO16642
CUS338,GEO9896
CUS339,GEO7422
CUS340,GEO11678
CUS341,GEO8020
CUS342,GEO5838
CUS343,GEO613
CUS344,GEO1762
CUS345,GEO6441
CUS346,GEO7067
CUS347,GEO1003
CUS348,GEO6512
CUS349,GEO17393
CUS350,GEO5163
CUS351,GEO4247
CUS352,GEO17781
CUS353,GEO3574
CUS354,GEO14433
CUS355,
CUS356,GEO17486
CUS357,GEO8008
CUS358,GEO18876
CUS359,GEO452
CUS360,GEO9537
CUS361,GEO3190
CUS362,GEO6422
CUS363,GEO9646
CUS364,GEO15064
CUS365,GEO163
CUS366,GEO4364
CUS367,GEO9155
CUS368,GEO4899
CUS369,GEO13742
CUS370,GEO14856
CUS371,GEO6600
CUS372,GEO17311
CUS373,GEO1505
CUS374,GEO7639
CUS375,GEO4384
CUS376,GEO5699
CUS377,GEO15728
CUS378,GEO18042
CUS379,GEO8286
CUS380,GEO8190
CUS381,GEO2504
CUS382,GEO8100
CUS383,
CUS384,GEO17087
CUS385,GEO1596
CUS386,GEO4937
CUS387,GEO16936
CUS388,GEO3933
CUS389,GEO4177
CUS390,GEO4613
CUS391,GEO3059
CUS392,GEO1383
CUS393,GEO9724
CUS394,GEO9987
CUS395,GEO8075
CUS396,GEO6840
CUS397,GEO6622
CUS398,GEO3450
CUS399,GEO2837
CUS400,GEO8881
CUS401,GEO16984
CUS402,GEO9275
CUS403,GEO18599
CUS404,GEO613
CUS405,GEO210
CUS406,GEO281
CUS407,GEO5281
CUS408,GEO6902
CUS409,GEO9091
CUS410,GEO3349
CUS411,GEO6838
CUS412,GEO18035
CUS413,GEO6625
CUS414,GEO14796
CUS415,GEO5145
CUS416,GEO5135
CUS417,GEO4911
CUS418,GEO11466
CUS419,GEO8582
CUS420,GEO1080
CUS421,GEO5282
CUS422,GEO17383
CUS423,GEO12436
CUS424,GEO18438
CUS425,GEO15421
CUS426,GEO4679
CUS427,GEO14590
CUS428,GEO5341
CUS429,GEO14735
CUS430,GEO4368
CUS431,GEO18900
CUS432,GEO8846
CUS433,GEO6826
CUS434,GEO8926
CUS435,GEO9543
CUS436,GEO5209
CUS437,GEO6853
CUS438,GEO3787
CUS439,GEO685
CUS440,GEO1523
CUS441,GEO119
CUS442,GEO8123
CUS443,GEO3145
CUS444,GEO1659
CUS445,GEO4702
CUS446,GEO4321
CUS447,GEO16413
CUS448,GEO5764
CUS449,GEO2004
CUS450,GEO18150
CUS451,GEO5324
CUS452,GEO805
CUS453,GEO16131
CUS454,GEO3367
CUS455,GEO8270
CUS456,GEO6839
CUS457,GEO4096
CUS458,GEO1806
CUS459,GEO5854
CUS460,GEO16277
CUS461,GEO18438
CUS462,GEO17308
CUS463,GEO15826
CUS464,GEO7739
CUS465,GEO4172
CUS466,GEO4889
CUS467,GEO10910
CUS468,GEO1962
CUS469,GEO3297
CUS470,GEO8099
CUS471,GEO1824
CUS472,GEO2347
CUS473,GEO4957
CUS474,GEO17785
CUS475,GEO7661
CUS476,GEO5991
CUS477,GEO6396
CUS478,GEO8702
CUS479,GEO17675
CUS480,GEO4603
CUS481,GEO9144
CUS482,GEO511
CUS483,GEO3237
CUS484,GEO4056
CUS485,GEO17395
CUS486,GEO8482
CUS487,GEO15185
CUS488,GEO7611
CUS489,GEO356
CUS490,GEO7113
CUS491,GEO7276
CUS492,GEO18654
CUS493,GEO10542
CUS494,GEO17287
CUS495,GEO2226
CUS496,GEO9581
CUS497,GEO6616
CUS498,GEO16350
CUS499,GEO6656
CUS500,GEO17821
CUS501,GEO6394
CUS502,GEO4096
CUS503,GEO16685
CUS504,GEO2215
CUS505,GEO3771
CUS506,GEO12785
CUS507,GEO3770
CUS508,GEO3521
CUS509,GEO4830
CUS510,GEO11159
CUS511,GEO5283
CUS512,GEO8729
CUS513,GEO2275
CUS514,GEO5035
CUS515,GEO14744
CUS516,GEO6838
CUS517,GEO17289
CUS518,GEO8702
CUS519,GEO6843
CUS520,GEO5032
CUS521,GEO16062
CUS522,GEO574
CUS523,GEO1371
CUS524,GEO2126
CUS525,GEO5731
CUS526,GEO18164
CUS527,GEO10184
CUS528,GEO10897
CUS529,GEO16538
CUS530,GEO8008
CUS531,GEO11996
CUS532,GEO6611
CUS533,GEO3100
CUS534,GEO3079
CUS535,GEO6024
CUS536,GEO2116
CUS537,GEO4111
CUS538,GEO11548
CUS539,GEO4616
CUS540,GEO6351
CUS541,GEO4733
CUS542,GEO1356
CUS543,GEO6924
CUS544,GEO4408
CUS545,GEO7233
CUS546,GEO366
CUS547,GEO12572
CUS548,GEO16843
CUS549,GEO6856
CUS550,GEO7722
CUS551,GEO16311
CUS552,GEO4314
CUS553,GEO6639
CUS554,GEO6668
CUS555,GEO15160
CUS556,GEO11732
CUS557,GEO10594
CUS558,GEO7436
CUS559,GEO280
CUS560,GEO241
CUS561,GEO16302
CUS562,GEO6904
CUS563,GEO3093
CUS564,GEO116
CUS565,GEO7296
CUS566,GEO3236
CUS567,GEO15475
CUS568,GEO17613
CUS569,GEO14581
CUS570,GEO8246
CUS571,GEO6622
CUS572,GEO17285
CUS573,GEO16529
CUS574,GEO8309
CUS575,GEO18279
CUS576,GEO17982
CUS577,GEO12444
CUS578,GEO6382
CUS579,GEO18668
CUS580,GEO6543
CUS581,GEO2180
CUS582,GEO5855
CUS583,GEO11110
CUS584,GEO6700
CUS585,GEO4146
CUS586,GEO11473
CUS587,GEO6639
CUS588,GEO8004
CUS589,GEO4305
CUS590,GEO15094
CUS591,GEO5780
CUS592,GEO7090
CUS593,GEO1020
CUS594,GEO3978
CUS595,GEO18314
CUS596,GEO4124
CUS597,GEO6714
CUS598,GEO4624
CUS599,GEO9901
CUS600,GEO7690
CUS601,GEO18185
CUS602,GEO11111
CUS603,GEO10648
CUS604,GEO2818
CUS605,GEO8092
CUS606,GEO3803
CUS607,GEO6657
CUS608,GEO7585
CUS609,GEO5907
CUS610,GEO8868
CUS611,GEO6002
CUS612,GEO6690
CUS613,GEO2150
CUS614,GEO15870
CUS615,GEO17279
CUS616,GEO6474
CUS617,GEO3480
CUS618,GEO4173
CUS619,GEO8163
CUS620,GEO6667
CUS621,GEO621
CUS622,GEO8798
CUS623,GEO6840
CUS624,GEO5373
CUS625,GEO5407
CUS626,GEO4876
CUS627,GEO9560
CUS628,GEO8289
CUS629,GEO6664
CUS630,GEO4631
CUS631,GEO17423
CUS632,GEO14508
CUS633,GEO6722
CUS634,GEO3399
CUS635,GEO7737
CUS636,GEO6507
CUS637,GEO5089
CUS638,GEO18051
CUS639,GEO1532
CUS640,GEO5468
CUS641,GEO4568
CUS642,GEO12436
CUS643,GEO5642
CUS644,GEO3612
CUS645,GEO1384
CUS646,GEO6751
CUS647,GEO9122
CUS648,GEO9810
CUS649,GEO4842
CUS650,GEO17253
CUS651,GEO5359
CUS652,GEO7492
CUS653,GEO6053
CUS654,GEO7207
CUS655,GEO18003
CUS656,GEO7906
CUS657,GEO6940
CUS658,GEO8914
CUS659,GEO5093
CUS660,GEO7639
CUS661,GEO7779
CUS662,GEO6374
CUS663,GEO1275
CUS664,GEO17699
CUS665,GEO7202
CUS666,GEO5007
CUS667,GEO18547
CUS668,GEO18301
CUS669,GEO6142
CUS670,GEO7185
CUS671,GEO4805
CUS672,GEO11572
CUS673,GEO1075
CUS674,GEO12169
CUS675,GEO4337
CUS676,GEO16236
CUS677,GEO270
CUS678,GEO4050
CUS679,GEO3854
CUS680,GEO3986
CUS681,GEO6205
CUS682,GEO10767
CUS683,GEO5211
CUS684,GEO1936
CUS685,GEO17301
CUS686,GEO9750
CUS687,GEO7421
CUS688,GEO15329
CUS689,GEO17663
CUS690,GEO6391
CUS691,GEO3209
CUS692,GEO5178
CUS693,GEO8164
CUS694,GEO1922
CUS695,GEO6699
CUS696,GEO16664
CUS697,GEO7771
CUS698,GEO7521
CUS699,GEO17865
CUS700,GEO7282
CUS701,GEO5355
CUS702,GEO9987
CUS703,GEO14983
CUS704,GEO1269
CUS705,GEO6399
CUS706,GEO4199
CUS707,GEO5206
CUS708,GEO596
CUS709,GEO5014
CUS710,GEO2444
CUS711,GEO008
CUS712,GEO4790
CUS713,GEO9721
CUS714,GEO14432
CUS715,GEO16556
CUS716,GEO5159
CUS717,GEO5041
CUS718,GEO5618
CUS719,GEO7079
CUS720,GEO11104
CUS721,GEO582
CUS722,GEO4383
CUS723,GEO11474
CUS724,GEO8253
CUS725,GEO6356
CUS726,GEO776
CUS727,GEO6420
CUS728,GEO14407
CUS729,GEO6783
CUS730,GEO7751
CUS731,GEO14436
CUS732,GEO2514
CUS733,GEO7889
CUS734,GEO7769
CUS735,GEO6629
CUS736,GEO1133
CUS737,GEO4616
CUS738,GEO10579
CUS739,GEO3772
CUS740,GEO15598
CUS741,GEO8179
CUS742,GEO16943
CUS743,GEO11291
CUS744,GEO044
CUS745,GEO10912
CUS746,GEO4369
CUS747,GEO10161
CUS748,GEO9579
CUS749,GEO5108
CUS750,GEO3144
CUS751,GEO9442
CUS752,GEO2302
CUS753,GEO18770
CUS754,GEO4382
CUS755,GEO14366
CUS756,GEO8285
CUS757,GEO10540
CUS758,GEO5092
CUS759,GEO618
CUS760,GEO5851
CUS761,GEO8828
CUS762,GEO7429
CUS763,GEO16255
CUS764,GEO13019
CUS765,GEO2966
CUS766,GEO9543
CUS767,GEO8231
CUS768,GEO10814
CUS769,GEO9314
CUS770,GEO4830
CUS771,GEO3285
CUS772,GEO602
CUS773,GEO15828
CUS774,GEO8731
CUS775,GEO17960
CUS776,GEO3611
CUS777,GEO6521
CUS778,GEO3841
CUS779,GEO12992
CUS780,GEO16866
CUS781,GEO6025
CUS782,GEO4297
CUS783,GEO3804
CUS784,GEO7762
CUS785,GEO3694
CUS786,GEO8082
CUS787,GEO3336
CUS788,GEO6186
CUS789,GEO4211
CUS790,GEO6352
CUS791,GEO15012
CUS792,GEO5577
CUS793,GEO15083
CUS794,GEO4470
CUS795,GEO6041
CUS796,GEO7837
CUS797,GEO5520
CUS798,GEO12704
CUS799,GEO9721
CUS800,GEO5971
CUS801,GEO702
CUS802,GEO3186
CUS803,GEO9222
CUS804,GEO4104
CUS805,GEO9094
CUS806,GEO14377
CUS807,GEO5220
CUS808,GEO3858
CUS809,GEO1817
CUS810,GEO9047
CUS811,GEO12227
CUS812,GEO3557
CUS813,GEO10635
CUS814,GEO4785
CUS815,GEO17995
CUS816,GEO2655
CUS817,GEO11826
CUS818,GEO8940
CUS819,GEO7898
CUS820,GEO6355
CUS821,GEO8067
CUS822,GEO8144
CUS823,GEO12995
CUS824,GEO6049
CUS825,GEO1628
CUS826,GEO7249
CUS827,GEO776
CUS828,GEO18908
CUS829,GEO14118
CUS830,GEO9548
CUS831,GEO3898
CUS832,GEO4589
CUS833,GEO18010
CUS834,GEO13323
CUS835,GEO3379
CUS836,GEO16280
CUS837,GEO17092
CUS838,GEO17408
CUS839,GEO3486
CUS840,GEO6855
CUS841,GEO6628
CUS842,GEO15055
CUS843,GEO14860
CUS844,GEO4917
CUS845,GEO3139
CUS846,GEO17146
CUS847,GEO11497
CUS848,GEO6402
CUS849,GEO7946
CUS850,GEO16898
CUS851,GEO2982
CUS852,GEO10913
CUS853,GEO4265
CUS854,GEO3279
CUS855,GEO6422
CUS856,GEO6656
CUS857,GEO5892
CUS858,GEO8227
CUS859,GEO17920
CUS860,GEO11681
CUS861,GEO7003
CUS862,GEO17288
CUS863,GEO2101
CUS864,GEO5853
CUS865,GEO071
CUS866,GEO9573
CUS867,GEO2529
CUS868,GEO15024
CUS869,GEO4791
CUS870,GEO16605
CUS871,GEO8188
CUS872,GEO4548
CUS873,GEO1920
CUS874,GEO17785
CUS875,GEO8166
CUS876,GEO6730
CUS877,GEO4664
CUS878,
CUS879,GEO10577
CUS880,GEO10194
CUS881,GEO6204
CUS882,GEO5268
CUS883,GEO8090
CUS884,GEO3457
CUS885,GEO2900
CUS886,GEO17145
CUS887,GEO2503
CUS888,GEO1763
CUS889,GEO9122
CUS890,GEO5909
CUS891,GEO9501
CUS892,GEO7702
CUS893,GEO9076
CUS894,GEO12708
CUS895,GEO7532
CUS896,GEO14242
CUS897,GEO18028
CUS898,GEO5767
CUS899,GEO4840
CUS900,GEO9529
CUS901,GEO1062
CUS902,GEO5953
CUS903,GEO3663
CUS904,GEO10088
CUS905,GEO2612
CUS906,GEO6532
CUS907,GEO1186
CUS908,GEO6044
CUS909,GEO3669
CUS910,GEO13939
CUS911,GEO5103
CUS912,GEO7785
CUS913,GEO7634
CUS914,GEO5276
CUS915,GEO4037
CUS916,GEO1357
CUS917,GEO5139
CUS918,GEO14906
CUS919,GEO15976
CUS920,GEO1825
CUS921,GEO6526
CUS922,GEO17656
CUS923,GEO769
CUS924,GEO7782
CUS925,GEO17419
CUS926,GEO6840
CUS927,GEO10923
CUS928,GEO7221
CUS929,GEO4204
CUS930,GEO793
CUS931,GEO4678
CUS932,GEO17991
CUS933,GEO4956
CUS934,GEO4689
CUS935,GEO12569
CUS936,GEO9016
CUS937,GEO6726
CUS938,GEO7204
CUS939,GEO086
CUS940,GEO6671
CUS941,GEO4278
CUS942,GEO8077
CUS943,GEO8580
CUS944,GEO4286
CUS945,GEO16651
CUS946,GEO057
CUS947,GEO4848
CUS948,GEO15569
CUS949,GEO12731
CUS950,GEO9314
CUS951,GEO6695
CUS952,GEO16110
CUS953,GEO14920
CUS954,GEO5983
CUS955,GEO8173
CUS956,GEO2928
CUS957,GEO19014
CUS958,GEO6131
CUS959,GEO1661
CUS960,GEO4112
CUS961,GEO16230
CUS962,GEO3517
CUS963,GEO11690
CUS964,GEO11799
CUS965,GEO4652
CUS966,GEO17290
CUS967,GEO8185
CUS968,GEO9546
CUS969,GEO4063
CUS970,GEO1186
CUS971,GEO9545
CUS972,GEO4754
CUS973,GEO12565
CUS974,GEO6591
CUS975,GEO7639
CUS976,GEO18617
CUS977,GEO1266
CUS978,GEO8135
CUS979,GEO17921
CUS980,GEO7429
CUS981,GEO6285
CUS982,GEO17933
CUS983,GEO8126
CUS984,GEO17664
CUS985,GEO7804
CUS986,GEO4156
CUS987,GEO13878
CUS988,GEO13621
CUS989,GEO4629
CUS990,GEO8478
CUS991,GEO1188
CUS992,GEO7833
CUS993,GEO8288
CUS994,GEO16651
CUS995,GEO1696
CUS996,GEO4800
CUS997,GEO8578
CUS998,GEO14017
CUS999,GEO3297
CUS1000,GEO11193
CUS1001,GEO15728
CUS1002,GEO4328
CUS1003,GEO5174
CUS1004,GEO7175
CUS1005,GEO2183
CUS1006,GEO3480
CUS1007,GEO4962
CUS1008,GEO4994
CUS1009,GEO6838
CUS1010,GEO6746
CUS1011,GEO2966
CUS1012,GEO9155
CUS1013,GEO4817
CUS1014,GEO7751
CUS1015,GEO6426
CUS1016,GEO4384
CUS1017,GEO17782
CUS1018,GEO3819
CUS1019,GEO4094
CUS1020,GEO3357
CUS1021,GEO10147
CUS1022,GEO16656
CUS1023,GEO10594
CUS1024,GEO14242
CUS1025,GEO14708
CUS1026,GEO17420
CUS1027,GEO17811
CUS1028,GEO5803
CUS1029,GEO3861
CUS1030,GEO615
CUS1031,GEO3276
CUS1032,GEO17749
CUS1033,GEO6424
CUS1034,GEO13642
CUS1035,GEO3370
CUS1036,GEO8868
CUS1037,GEO670
CUS1038,GEO11767
CUS1039,GEO7837
CUS1040,GEO3345
CUS1041,GEO3755
CUS1042,GEO16421
CUS1043,GEO17995
CUS1044,GEO7586
CUS1045,GEO4106
CUS1046,GEO154
CUS1047,GEO17782
CUS1048,GEO18411
CUS1049,GEO451
CUS1050,GEO3033
CUS1051,GEO6723
CUS1052,GEO15805
CUS1053,GEO055
CUS1054,GEO12497
CUS1055,GEO4923
CUS1056,GEO16627
CUS1057,GEO18150
CUS1058,GEO2428
CUS1059,GEO13310
CUS1060,GEO6412
CUS1061,GEO4698
CUS1062,GEO7153
CUS1063,GEO4858
CUS1064,GEO16230
CUS1065,GEO3772
CUS1066,GEO4091
CUS1067,GEO4613
CUS1068,GEO17507
CUS1069,GEO10725
CUS1070,GEO1061
CUS1071,GEO14998
CUS1072,GEO18001
CUS1073,GEO12687
CUS1074,GEO7779
CUS1075,GEO18403
CUS1076,GEO7952
CUS1077,GEO2725
CUS1078,GEO2103
CUS1079,GEO16715
CUS1080,GEO14881
CUS1081,GEO10629
CUS1082,GEO15550
CUS1083,GEO11473
CUS1084,GEO2322
CUS1085,GEO18566
CUS1086,GEO4616
CUS1087,GEO6614
CUS1088,GEO8153
CUS1089,GEO7543
CUS1090,GEO8095
CUS1091,GEO4302
CUS1092,GEO2454
CUS1093,GEO3751
CUS1094,GEO3215
CUS1095,GEO4848
CUS1096,GEO9726
CUS1097,GEO14530
CUS1098,GEO8165
CUS1099,GEO8963
CUS1100,GEO12187
CUS1101,GEO4884
CUS1102,GEO2079
CUS1103,GEO2330
CUS1104,GEO2118
CUS1105,GEO7667
CUS1106,GEO18651
CUS1107,GEO16197
CUS1108,GEO18314
CUS1109,GEO1682
CUS1110,GEO4840
CUS1111,GEO2928
CUS1112,GEO6695
CUS1113,GEO2249
CUS1114,GEO8067
CUS1115,GEO7727
CUS1116,GEO1025
CUS1117,GEO4826
CUS1118,GEO4557
CUS1119,GEO649
CUS1120,GEO1022
CUS1121,GEO10756
CUS1122,GEO8062
CUS1123,GEO3199
CUS1124,GEO8432
CUS1125,GEO9671
CUS1126,GEO2702
CUS1127,GEO16360
CUS1128,GEO12805
CUS1129,GEO7637
CUS1130,GEO4370
CUS1131,GEO6141
CUS1132,GEO17591
CUS1133,GEO1708
CUS1134,GEO8897
CUS1135,GEO5906
CUS1136,GEO17322
CUS1137,GEO1050
CUS1138,GEO6521
CUS1139,GEO3152
CUS1140,GEO8082
CUS1141,GEO7179
CUS1142,GEO3764
CUS1143,GEO5321
CUS1144,GEO9348
CUS1145,GEO12645
CUS1146,GEO17751
CUS1147,GEO7843
CUS1148,GEO088
CUS1149,GEO4360
CUS1150,GEO14345
CUS1151,GEO16411
CUS1152,GEO088
CUS1153,GEO3785
CUS1154,GEO3997
CUS1155,GEO031
CUS1156,GEO5034
CUS1157,GEO18990
CUS1158,GEO17749
CUS1159,GEO17895
CUS1160,GEO3985
CUS1161,GEO6150
CUS1162,GEO16093
CUS1163,GEO780
CUS1164,GEO3651
CUS1165,GEO6656
CUS1166,GEO8089
CUS1167,GEO8869
CUS1168,GEO277
CUS1169,GEO3674
CUS1170,GEO9115
CUS1171,GEO13322
CUS1172,GEO5577
CUS1173,GEO7343
CUS1174,GEO4848
CUS1175,GEO17126
CUS1176,GEO6650
CUS1177,GEO3657
CUS1178,GEO2238
CUS1179,GEO3981
CUS1180,GEO3930
CUS1181,GEO3991
CUS1182,GEO16691
CUS1183,GEO11585
CUS1184,GEO7095
CUS1185,GEO1081
CUS1186,GEO2687
CUS1187,GEO1658
CUS1188,GEO9406
CUS1189,GEO6839
CUS1190,GEO8075
CUS1191,GEO5945
CUS1192,GEO103
CUS1193,GEO18123
CUS1194,GEO5499
CUS1195,GEO7083
CUS1196,GEO1116
CUS1197,GEO18766
CUS1198,GEO16151
CUS1199,GEO2924
CUS1200,GEO5341
CUS1201,GEO4487
CUS1202,GEO3579
CUS1203,GEO4628
CUS1204,GEO13147
CUS1205,GEO11305
CUS1206,GEO10271
CUS1207,GEO4834
CUS1208,GEO6611
CUS1209,GEO5738
CUS1210,GEO4258
CUS1211,GEO5379
CUS1212,GEO17049
CUS1213,GEO4867
CUS1214,GEO12250
CUS1215,GEO2408
CUS1216,GEO7594
CUS1217,GEO9452
CUS1218,GEO7587
CUS1219,
CUS1220,GEO5032
CUS1221,GEO8897
CUS1222,GEO8481
CUS1223,GEO3099
CUS1224,GEO4063
CUS1225,GEO6836
CUS1226,GEO1182
CUS1227,GEO3476
CUS1228,GEO2265
CUS1229,GEO6640
CUS1230,GEO6569
CUS1231,GEO18207
CUS1232,GEO3296
CUS1233,GEO9334
CUS1234,GEO401
CUS1235,GEO13474
CUS1236,GEO14687
CUS1237,GEO5667
CUS1238,GEO17322
CUS1239,GEO9231
CUS1240,GEO2463
CUS1241,GEO6997
CUS1242,GEO15836
CUS1243,GEO14029
CUS1244,GEO8063
CUS1245,GEO10514
CUS1246,GEO15257
CUS1247,GEO4349
CUS1248,GEO5805
CUS1249,GEO7782
CUS1250,GEO2272
CUS1251,GEO3238
CUS1252,GEO18329
CUS1253,GEO15342
