orderpayment_id_pref,order_id_pref,payment_sequential,payment_type,payment_installments,payment_value
PAY084,ORD76970,1,credit_card,1,37.61
PAY085,ORD15321,1,credit_card,1,13.8
PAY086,ORD19153,1,debit_card,1,227.12
PAY087,ORD26541,1,credit_card,3,34.78
PAY088,ORD27437,1,credit_card,10,342.56
PAY089,ORD24546,1,credit_card,7,73.34
PAY090,ORD92882,1,credit_card,4,117.85
PAY091,ORD81006,1,credit_card,1,48.62
PAY092,ORD19462,1,credit_card,1,53.99
PAY093,ORD44101,1,credit_card,1,51.14
PAY094,ORD51350,1,credit_card,2,121.45
PAY095,ORD33131,1,credit_card,1,73.34
PAY096,ORD82261,1,credit_card,10,117.68
PAY097,ORD82969,1,credit_card,1,56.77
PAY098,ORD9151,1,credit_card,2,115.59
PAY099,ORD59830,1,credit_card,6,60.07
PAY100,ORD27457,1,credit_card,1,27.27
PAY101,ORD4729,1,boleto,1,32.15
PAY102,ORD3857,1,credit_card,3,195.71
PAY103,ORD80259,2,voucher,1,43.12
PAY104,ORD54781,1,credit_card,1,88.49
PAY105,ORD78663,1,credit_card,3,34.09
PAY106,ORD45712,1,credit_card,1,40.99
PAY107,ORD65941,1,credit_card,3,71.99
PAY108,ORD73226,1,boleto,1,47.0
PAY109,ORD71777,1,credit_card,3,81.78
PAY110,ORD4301,1,credit_card,3,231.45
PAY111,ORD91979,1,credit_card,7,144.2
PAY112,ORD25502,1,debit_card,1,35.14
PAY113,ORD50505,1,credit_card,10,285.79
PAY114,ORD44967,1,credit_card,2,176.7
PAY115,ORD72940,1,credit_card,2,27.63
PAY116,ORD11663,1,credit_card,8,134.56
PAY117,ORD67460,1,credit_card,4,96.98
PAY118,ORD68480,1,credit_card,2,110.03
PAY119,ORD77721,1,credit_card,1,17.78
PAY120,ORD26379,1,credit_card,1,44.0
PAY121,ORD77147,1,credit_card,4,110.11
PAY122,ORD2824,4,voucher,1,22.49
PAY123,ORD77597,1,credit_card,4,46.63
PAY124,ORD59703,1,boleto,1,52.21
PAY125,ORD19644,1,credit_card,2,61.77
PAY126,ORD18500,1,boleto,1,121.88
PAY127,ORD50393,1,credit_card,1,75.75
PAY128,ORD16477,1,credit_card,1,130.22
PAY129,ORD25668,1,credit_card,3,57.53
PAY130,ORD19701,1,credit_card,7,76.02
PAY131,ORD51116,1,boleto,1,90.17
PAY132,ORD66571,1,credit_card,1,31.0
PAY133,ORD94166,1,credit_card,10,106.77
PAY134,ORD24269,1,voucher,1,163.25
PAY135,ORD3106,1,boleto,1,233.66
PAY136,ORD30046,1,credit_card,1,163.08
PAY137,ORD76418,1,credit_card,4,135.93
PAY138,ORD36489,1,credit_card,1,267.05
PAY139,ORD48769,1,credit_card,7,186.72
PAY140,ORD52676,2,voucher,1,30.0
PAY141,ORD42768,1,credit_card,4,97.28
PAY142,ORD82226,1,credit_card,1,48.61
PAY143,ORD47266,1,boleto,1,116.7
PAY144,ORD20839,1,credit_card,1,41.42
PAY145,ORD64982,1,boleto,1,42.19
PAY146,ORD64388,1,credit_card,6,125.53
PAY147,ORD91185,1,credit_card,5,92.76
PAY148,ORD84991,1,credit_card,8,348.02
PAY149,ORD58801,1,credit_card,2,203.3
PAY150,ORD97563,1,credit_card,3,44.35
PAY151,ORD84670,1,credit_card,10,116.05
PAY152,ORD69459,1,boleto,1,85.14
PAY153,ORD6545,1,credit_card,4,236.66
PAY154,ORD30381,1,credit_card,4,220.3
PAY155,ORD93643,1,credit_card,1,180.55
PAY156,ORD93286,1,boleto,1,45.46
PAY157,ORD45366,1,boleto,1,26.08
PAY158,ORD59346,1,credit_card,1,375.74
PAY159,ORD12892,1,credit_card,5,123.41
PAY160,ORD13065,1,credit_card,10,379.07
PAY161,ORD37942,1,credit_card,10,2027.16
PAY162,ORD98703,1,credit_card,1,45.5
PAY163,ORD66707,1,credit_card,1,91.17
PAY164,ORD46455,1,boleto,1,93.26
PAY165,ORD4005,2,voucher,1,30.0
PAY166,ORD58972,1,credit_card,10,165.96
PAY167,ORD92452,2,voucher,1,50.0
PAY168,ORD96701,1,credit_card,10,1002.73
PAY169,ORD88634,1,boleto,1,116.56
PAY170,ORD65807,1,credit_card,2,240.52
PAY171,ORD3620,1,credit_card,3,33.13
PAY172,ORD40616,1,credit_card,1,213.9
PAY173,ORD2783,1,credit_card,8,362.17
PAY174,ORD31679,1,credit_card,2,88.72
PAY175,ORD87416,1,credit_card,2,46.85
PAY176,ORD26895,1,boleto,1,68.54
PAY177,ORD36957,1,boleto,1,32.62
PAY178,ORD1273,1,credit_card,8,340.08
PAY179,ORD56971,1,boleto,1,82.06
PAY180,ORD35233,1,credit_card,1,40.95
PAY181,ORD12081,1,credit_card,3,67.01
PAY182,ORD84705,5,voucher,1,20.0
PAY183,ORD52384,2,voucher,1,76.9
PAY184,ORD35441,1,credit_card,4,40.27
PAY185,ORD11244,1,credit_card,8,242.1
PAY186,ORD82926,1,boleto,1,207.24
PAY187,ORD46670,1,credit_card,2,215.56
PAY188,ORD44782,1,credit_card,1,39.92
PAY189,ORD91003,1,credit_card,8,156.09
PAY190,ORD28984,1,credit_card,2,131.5
PAY191,ORD79410,1,boleto,1,137.73
PAY192,ORD4216,1,credit_card,1,31.75
PAY193,ORD97307,1,credit_card,8,348.77
PAY194,ORD15288,1,credit_card,1,12.22
PAY195,ORD58485,1,credit_card,4,139.87
PAY196,ORD41374,1,credit_card,12,257.1
PAY197,ORD27075,1,credit_card,3,269.46
PAY198,ORD8336,1,credit_card,1,40.0
PAY199,ORD52174,1,credit_card,10,350.09
PAY200,ORD11937,2,credit_card,6,134.55
PAY201,ORD76119,1,credit_card,3,112.73
PAY202,ORD85109,1,boleto,1,72.05
PAY203,ORD71821,1,credit_card,1,0.67
PAY204,ORD84267,1,credit_card,2,77.77
PAY205,ORD63712,1,credit_card,2,26.68
PAY206,ORD37745,1,credit_card,1,371.42
PAY207,ORD10287,1,credit_card,6,225.71
PAY208,ORD56617,1,credit_card,3,103.79
PAY209,ORD11427,1,boleto,1,65.0
PAY210,ORD88250,2,voucher,1,69.8
PAY211,ORD97583,2,voucher,1,20.09
PAY212,ORD52254,1,credit_card,1,125.41
PAY213,ORD90036,1,boleto,1,95.99
PAY214,ORD80918,1,credit_card,2,25.33
PAY215,ORD42075,1,credit_card,1,52.57
PAY216,ORD60747,1,credit_card,2,145.58
PAY217,ORD63943,1,credit_card,3,49.7
PAY218,ORD20462,1,credit_card,1,47.43
PAY219,ORD55186,1,credit_card,2,168.57
PAY220,ORD93334,1,credit_card,1,133.81
PAY221,ORD55011,2,voucher,1,1.23
PAY222,ORD64194,1,boleto,1,123.82
PAY223,ORD72973,1,credit_card,3,283.66
PAY224,ORD41171,1,credit_card,1,89.88
PAY225,ORD65177,1,boleto,1,32.38
PAY226,ORD41736,1,credit_card,1,43.08
PAY227,ORD4059,1,credit_card,1,254.58
PAY228,ORD319,2,voucher,1,48.91
PAY229,ORD14128,1,credit_card,4,48.22
PAY230,ORD45499,1,credit_card,6,67.58
PAY231,ORD90101,1,credit_card,10,311.18
PAY232,ORD1592,1,credit_card,4,154.14
PAY233,ORD80752,1,credit_card,2,333.68
PAY234,ORD46326,1,boleto,1,404.88
PAY235,ORD25405,1,boleto,1,44.77
PAY236,ORD38688,1,voucher,1,1302.42
PAY237,ORD22441,1,credit_card,10,645.8
PAY238,ORD59295,1,credit_card,1,186.39
PAY239,ORD16290,1,credit_card,10,208.41
PAY240,ORD29324,1,debit_card,1,76.39
PAY241,ORD35081,1,credit_card,2,67.42
PAY242,ORD10231,1,credit_card,4,232.05
PAY243,ORD75025,1,boleto,1,69.33
PAY244,ORD77199,1,credit_card,3,641.2
PAY245,ORD63372,1,boleto,1,41.86
PAY246,ORD40848,1,voucher,1,50.0
PAY247,ORD14208,1,credit_card,1,106.96
PAY248,ORD15994,1,credit_card,10,2288.31
PAY249,ORD43863,1,boleto,1,69.9
PAY250,ORD48992,1,boleto,1,88.08
PAY251,ORD53423,1,credit_card,4,117.39
PAY252,ORD16419,1,debit_card,1,194.91
PAY253,ORD19296,1,debit_card,1,68.89
PAY254,ORD11409,1,credit_card,2,151.51
PAY255,ORD54884,1,credit_card,1,54.85
PAY256,ORD60068,1,credit_card,1,103.68
PAY257,ORD82914,1,debit_card,1,225.63
PAY258,ORD8868,1,boleto,1,39.6
PAY259,ORD6068,1,credit_card,10,159.18
PAY260,ORD57053,1,credit_card,1,234.43
PAY261,ORD88664,1,boleto,1,44.83
PAY262,ORD11344,1,credit_card,4,205.44
PAY263,ORD36503,1,credit_card,1,13.55
PAY264,ORD63605,1,credit_card,1,221.96
PAY265,ORD38527,1,credit_card,1,52.38
PAY266,ORD89326,1,credit_card,9,131.47
PAY267,ORD22324,1,credit_card,2,38.06
PAY268,ORD8830,2,voucher,1,35.0
PAY269,ORD10610,1,credit_card,3,143.65
PAY270,ORD71746,1,credit_card,3,86.73
PAY271,ORD39904,1,credit_card,5,118.35
PAY272,ORD58593,1,credit_card,1,341.58
PAY273,ORD90950,1,credit_card,2,105.42
PAY274,ORD23093,1,credit_card,4,68.16
PAY275,ORD30295,1,credit_card,10,357.97
PAY276,ORD31310,3,voucher,1,2.99
PAY277,ORD97342,1,boleto,1,92.57
PAY278,ORD49753,1,credit_card,2,68.35
PAY279,ORD66732,1,credit_card,13,197.23
PAY280,ORD39143,1,credit_card,3,153.67
PAY281,ORD94325,1,credit_card,3,46.43
PAY282,ORD80573,1,credit_card,4,102.03
PAY283,ORD67911,1,credit_card,5,119.45
PAY284,ORD15133,1,credit_card,1,44.23
PAY285,ORD98500,1,credit_card,1,67.5
PAY286,ORD84866,5,voucher,1,8.75
PAY287,ORD27631,1,credit_card,2,44.27
PAY288,ORD37391,1,credit_card,1,37.15
PAY289,ORD17704,1,credit_card,2,114.13
PAY290,ORD10910,1,credit_card,1,396.97
PAY291,ORD85632,1,credit_card,10,185.85
PAY292,ORD11093,1,credit_card,3,62.11
PAY293,ORD52938,1,credit_card,2,25.23
PAY294,ORD54580,1,credit_card,5,153.22
PAY295,ORD59095,1,debit_card,1,145.01
PAY296,ORD92372,1,boleto,1,70.89
PAY297,ORD11223,1,credit_card,6,114.34
PAY298,ORD95431,1,credit_card,2,31.38
PAY299,ORD66912,1,credit_card,5,256.5
PAY300,ORD4295,1,boleto,1,341.4
PAY301,ORD92391,1,credit_card,1,143.99
PAY302,ORD37187,1,voucher,1,84.88
PAY303,ORD97249,1,credit_card,8,232.27
PAY304,ORD35887,1,credit_card,5,194.0
PAY305,ORD32296,1,credit_card,1,260.57
PAY306,ORD72779,1,credit_card,1,49.59
PAY307,ORD76538,1,credit_card,3,196.55
PAY308,ORD16030,1,boleto,1,245.94
PAY309,ORD12713,2,voucher,1,72.42
PAY310,ORD11688,1,credit_card,2,217.15
PAY311,ORD3181,1,credit_card,4,152.28
PAY312,ORD25821,1,credit_card,3,72.34
PAY313,ORD95798,1,credit_card,5,128.95
PAY314,ORD67348,1,credit_card,1,56.85
PAY315,ORD42956,1,credit_card,1,20.29
PAY316,ORD39986,1,boleto,1,171.75
PAY317,ORD32874,1,credit_card,1,85.82
PAY318,ORD91603,1,boleto,1,56.05
PAY319,ORD84886,1,boleto,1,26.09
PAY320,ORD2525,1,credit_card,1,41.17
PAY321,ORD88861,1,boleto,1,37.25
PAY322,ORD56739,1,credit_card,5,135.13
PAY323,ORD93457,1,credit_card,5,477.45
PAY324,ORD73160,1,credit_card,2,440.12
PAY325,ORD59135,1,credit_card,1,67.7
PAY326,ORD76760,1,boleto,1,168.51
PAY327,ORD27336,1,boleto,1,31.86
PAY328,ORD49008,1,boleto,1,40.87
PAY329,ORD25835,1,credit_card,10,109.59
PAY330,ORD35452,1,credit_card,3,206.87
PAY331,ORD94648,1,credit_card,1,134.38
PAY332,ORD55465,1,credit_card,1,56.06
PAY333,ORD25424,1,credit_card,3,264.08
PAY334,ORD52453,1,credit_card,10,240.77
PAY335,ORD69244,1,credit_card,2,91.72
PAY336,ORD83912,1,credit_card,4,49.01
PAY337,ORD12560,1,boleto,1,107.87
PAY338,ORD82801,1,credit_card,3,62.01
PAY339,ORD38026,1,credit_card,1,36.69
PAY340,ORD96197,1,credit_card,3,35.0
PAY341,ORD27435,1,credit_card,8,256.37
PAY342,ORD87987,1,credit_card,1,47.84
PAY343,ORD19551,1,credit_card,5,125.87
PAY344,ORD87250,1,credit_card,1,42.39
PAY345,ORD8115,1,credit_card,5,117.53
PAY346,ORD51068,1,credit_card,1,43.28
PAY347,ORD34499,1,credit_card,4,144.54
PAY348,ORD34063,1,boleto,1,126.48
PAY349,ORD29864,1,credit_card,4,125.29
PAY350,ORD94756,1,credit_card,2,229.74
PAY351,ORD21246,1,credit_card,1,124.6
PAY352,ORD12591,1,boleto,1,143.86
PAY353,ORD96894,1,voucher,1,56.89
PAY354,ORD55948,1,boleto,1,46.78
PAY355,ORD27661,8,voucher,1,3.98
PAY356,ORD2066,1,credit_card,3,72.66
PAY357,ORD63180,1,boleto,1,50.1
PAY358,ORD726,1,boleto,1,85.79
PAY359,ORD37422,1,boleto,1,63.7
PAY360,ORD11792,1,credit_card,10,1586.47
PAY361,ORD83141,1,credit_card,3,433.07
PAY362,ORD23704,1,credit_card,10,642.02
PAY363,ORD80586,1,credit_card,4,263.95
PAY364,ORD63499,1,boleto,1,134.99
PAY365,ORD45885,1,credit_card,1,57.89
PAY366,ORD94505,1,credit_card,1,383.99
PAY367,ORD61641,1,boleto,1,159.31
PAY368,ORD79224,1,credit_card,1,756.91
PAY369,ORD65863,1,credit_card,7,156.22
PAY370,ORD60371,1,credit_card,10,132.95
PAY371,ORD33373,1,boleto,1,48.27
PAY372,ORD39288,1,credit_card,5,107.35
PAY373,ORD58212,1,credit_card,10,110.2
PAY374,ORD69556,1,credit_card,8,368.92
PAY375,ORD73567,1,boleto,1,106.85
PAY376,ORD23065,1,credit_card,8,281.5
PAY377,ORD93663,1,credit_card,2,54.25
PAY378,ORD45289,1,credit_card,5,121.78
PAY379,ORD3390,1,credit_card,2,102.26
PAY380,ORD56550,1,boleto,1,90.62
PAY381,ORD89264,1,boleto,1,75.69
PAY382,ORD38522,1,debit_card,1,42.86
PAY383,ORD79663,1,credit_card,1,35.7
PAY384,ORD42361,1,credit_card,10,444.25
PAY385,ORD27027,1,credit_card,1,69.16
PAY386,ORD11940,2,voucher,1,30.0
PAY387,ORD74098,1,credit_card,2,65.71
PAY388,ORD82844,1,credit_card,1,29.29
PAY389,ORD25010,1,credit_card,1,37.74
PAY390,ORD62385,2,voucher,1,30.0
PAY391,ORD7364,1,credit_card,2,145.9
PAY392,ORD25278,1,credit_card,1,79.88
PAY393,ORD76702,1,credit_card,5,108.0
PAY394,ORD27701,1,credit_card,6,348.74
PAY395,ORD1823,1,credit_card,6,88.78
PAY396,ORD55476,1,credit_card,4,953.71
PAY397,ORD82771,1,credit_card,6,125.77
PAY398,ORD88638,1,credit_card,3,64.05
PAY399,ORD17416,1,boleto,1,127.69
PAY400,ORD21349,1,credit_card,1,62.42
PAY401,ORD94387,1,credit_card,5,55.69
PAY402,ORD58556,1,credit_card,7,146.13
PAY403,ORD93070,1,credit_card,5,349.99
PAY404,ORD9786,1,credit_card,1,91.28
PAY405,ORD68526,1,boleto,1,108.64
PAY406,ORD4514,1,credit_card,2,158.98
PAY407,ORD213,1,credit_card,1,20.75
PAY408,ORD32316,1,boleto,1,72.9
PAY409,ORD61574,1,credit_card,3,543.83
PAY410,ORD82091,1,credit_card,2,67.12
PAY411,ORD78038,1,credit_card,6,139.07
PAY412,ORD59923,1,boleto,1,126.68
PAY413,ORD54790,1,credit_card,1,41.42
PAY414,ORD33374,1,boleto,1,203.16
PAY415,ORD71536,1,credit_card,8,540.02
PAY416,ORD78759,1,boleto,1,368.6
PAY417,ORD35522,1,credit_card,4,107.78
PAY418,ORD61484,1,credit_card,10,387.27
PAY419,ORD58949,1,credit_card,10,107.23
PAY420,ORD9010,1,credit_card,2,101.25
PAY421,ORD97503,1,credit_card,1,26.09
PAY422,ORD82572,1,boleto,1,244.35
PAY423,ORD69069,1,credit_card,10,117.85
PAY424,ORD34440,1,credit_card,3,171.32
PAY425,ORD76246,1,credit_card,10,202.44
PAY426,ORD81861,1,boleto,1,73.03
PAY427,ORD91402,1,credit_card,4,264.67
PAY428,ORD72805,1,credit_card,1,68.7
PAY429,ORD14673,1,boleto,1,55.13
PAY430,ORD88251,1,credit_card,2,92.99
PAY431,ORD45116,1,credit_card,3,36.0
PAY432,ORD85277,1,credit_card,1,17.87
PAY433,ORD54729,1,credit_card,1,58.38
PAY434,ORD89414,2,voucher,1,50.0
PAY435,ORD14219,1,credit_card,10,1995.69
PAY436,ORD27503,1,credit_card,3,130.14
PAY437,ORD85059,1,boleto,1,710.23
PAY438,ORD76550,1,credit_card,1,68.0
PAY439,ORD39499,1,credit_card,5,59.51
PAY440,ORD42142,1,credit_card,5,371.94
PAY441,ORD23892,1,credit_card,10,667.99
PAY442,ORD41378,1,credit_card,1,63.89
PAY443,ORD8342,1,credit_card,4,49.34
PAY444,ORD22650,1,boleto,1,147.0
PAY445,ORD2183,1,credit_card,1,354.64
PAY446,ORD45568,1,credit_card,4,59.71
PAY447,ORD53794,1,credit_card,8,408.66
PAY448,ORD52888,1,credit_card,5,51.66
PAY449,ORD49300,1,credit_card,2,386.46
PAY450,ORD75063,1,credit_card,2,69.54
PAY451,ORD65778,1,credit_card,1,21.94
PAY452,ORD65512,1,credit_card,1,52.34
PAY453,ORD20896,1,credit_card,1,114.25
PAY454,ORD27392,1,credit_card,2,162.83
PAY455,ORD93080,1,credit_card,1,172.92
PAY456,ORD88513,1,credit_card,7,81.72
PAY457,ORD80260,1,credit_card,2,151.79
PAY458,ORD89113,1,credit_card,4,243.62
PAY459,ORD43174,1,boleto,1,56.42
PAY460,ORD50205,1,credit_card,4,45.13
PAY461,ORD96065,1,boleto,1,108.64
PAY462,ORD18477,1,credit_card,4,64.51
PAY463,ORD42888,1,credit_card,8,193.5
PAY464,ORD73292,1,boleto,1,110.63
PAY465,ORD88522,1,credit_card,5,200.55
PAY466,ORD31540,1,credit_card,1,41.71
PAY467,ORD1130,1,credit_card,1,54.43
PAY468,ORD45680,1,credit_card,3,77.64
PAY469,ORD89404,1,boleto,1,280.08
PAY470,ORD77175,1,credit_card,5,101.34
PAY471,ORD28134,1,credit_card,1,77.57
PAY472,ORD38197,1,credit_card,4,60.2
PAY473,ORD49428,1,boleto,1,48.1
PAY474,ORD49038,1,boleto,1,76.02
PAY475,ORD65449,1,credit_card,2,84.56
PAY476,ORD1743,2,voucher,1,20.0
PAY477,ORD89284,1,credit_card,4,48.16
PAY478,ORD14292,1,debit_card,1,265.41
PAY479,ORD40269,1,credit_card,5,127.53
PAY480,ORD44507,1,credit_card,2,128.73
PAY481,ORD80470,1,credit_card,3,37.37
PAY482,ORD24634,1,credit_card,5,150.15
PAY483,ORD38019,1,credit_card,2,36.16
PAY484,ORD71992,1,credit_card,4,198.0
PAY485,ORD37386,1,credit_card,5,112.4
PAY486,ORD2609,1,credit_card,1,35.4
PAY487,ORD2958,1,credit_card,6,189.98
PAY488,ORD74629,1,credit_card,2,228.6
PAY489,ORD13447,1,credit_card,8,314.21
PAY490,ORD13917,1,credit_card,1,22.29
PAY491,ORD52458,1,credit_card,8,257.3
PAY492,ORD19584,1,credit_card,6,162.99
PAY493,ORD41399,1,boleto,1,51.03
PAY494,ORD96218,1,credit_card,12,190.09
PAY495,ORD48042,1,credit_card,7,374.24
PAY496,ORD63437,1,credit_card,5,53.15
PAY497,ORD20173,1,credit_card,2,88.2
PAY498,ORD42610,2,voucher,1,25.9
PAY499,ORD54113,1,credit_card,1,46.81
PAY500,ORD65910,1,boleto,1,131.47
PAY501,ORD53537,1,credit_card,3,258.71
PAY502,ORD88669,1,credit_card,1,84.23
PAY503,ORD4633,1,credit_card,10,156.73
PAY504,ORD38711,1,boleto,1,69.9
PAY505,ORD49568,1,boleto,1,48.13
PAY506,ORD88517,1,credit_card,6,187.15
PAY507,ORD72056,1,credit_card,3,69.99
PAY508,ORD42895,2,voucher,1,25.0
PAY509,ORD25164,1,credit_card,2,162.1
PAY510,ORD20190,1,credit_card,1,57.11
PAY511,ORD35245,1,credit_card,1,154.87
PAY512,ORD83964,1,credit_card,4,236.81
PAY513,ORD65970,1,credit_card,1,102.53
PAY514,ORD84849,1,credit_card,3,65.1
PAY515,ORD85357,1,boleto,1,93.64
PAY516,ORD97177,1,boleto,1,64.09
PAY517,ORD29465,1,credit_card,5,279.4
PAY518,ORD93863,1,credit_card,5,205.43
PAY519,ORD57938,1,credit_card,4,89.57
PAY520,ORD45838,1,boleto,1,75.07
PAY521,ORD12736,1,credit_card,4,63.23
PAY522,ORD24837,1,credit_card,1,0.52
PAY523,ORD48875,1,credit_card,10,231.27
PAY524,ORD24722,1,boleto,1,41.69
PAY525,ORD45687,1,credit_card,4,69.41
PAY526,ORD2877,1,credit_card,1,72.75
PAY527,ORD98208,1,credit_card,2,24.29
PAY528,ORD73102,1,credit_card,5,88.49
PAY529,ORD66273,1,credit_card,7,71.66
PAY530,ORD81369,1,credit_card,2,80.81
PAY531,ORD7739,1,credit_card,2,132.82
PAY532,ORD70137,1,credit_card,7,394.07
PAY533,ORD31257,1,credit_card,2,165.5
PAY534,ORD61017,1,credit_card,2,98.47
PAY535,ORD1532,1,credit_card,2,49.77
PAY536,ORD21476,1,credit_card,8,180.91
PAY537,ORD54915,1,credit_card,4,40.63
PAY538,ORD37702,1,debit_card,1,71.63
PAY539,ORD1881,1,credit_card,5,262.94
PAY540,ORD57188,1,credit_card,3,62.22
PAY541,ORD86508,1,credit_card,5,311.57
PAY542,ORD54323,1,debit_card,1,93.22
PAY543,ORD74747,1,boleto,1,100.21
PAY544,ORD77290,1,credit_card,4,125.43
PAY545,ORD41929,1,boleto,1,80.55
PAY546,ORD9497,1,credit_card,2,373.44
PAY547,ORD60831,1,credit_card,3,62.31
PAY548,ORD33187,1,debit_card,1,36.35
PAY549,ORD11908,1,credit_card,2,29.38
PAY550,ORD49601,1,credit_card,10,102.47
PAY551,ORD23364,1,credit_card,3,130.0
PAY552,ORD97861,1,credit_card,5,69.13
PAY553,ORD22314,1,credit_card,1,86.24
PAY554,ORD13898,1,credit_card,1,74.29
PAY555,ORD14992,1,credit_card,7,70.72
PAY556,ORD57393,1,credit_card,3,199.0
PAY557,ORD7914,1,credit_card,3,340.47
PAY558,ORD75384,1,credit_card,4,48.74
PAY559,ORD16590,1,credit_card,2,28.08
PAY560,ORD93129,1,voucher,1,59.9
PAY561,ORD86643,1,credit_card,1,166.29
PAY562,ORD51364,1,boleto,1,51.1
PAY563,ORD12873,1,credit_card,1,67.83
PAY564,ORD51491,1,credit_card,3,164.35
PAY565,ORD39723,1,boleto,1,79.09
PAY566,ORD97102,1,boleto,1,93.69
PAY567,ORD9613,1,credit_card,2,59.82
PAY568,ORD48467,1,credit_card,3,159.03
PAY569,ORD38133,1,credit_card,9,92.57
PAY570,ORD17035,1,credit_card,4,42.77
PAY571,ORD7244,1,credit_card,8,453.74
PAY572,ORD59781,1,credit_card,3,234.08
PAY573,ORD91533,1,credit_card,2,67.62
PAY574,ORD8381,1,credit_card,1,19.33
PAY575,ORD73728,1,credit_card,3,143.18
PAY576,ORD75507,1,credit_card,4,112.83
PAY577,ORD14531,1,boleto,1,85.92
PAY578,ORD77770,1,credit_card,4,102.05
PAY579,ORD60757,1,credit_card,3,134.12
PAY580,ORD93325,1,credit_card,1,112.13
PAY581,ORD60110,1,credit_card,1,70.75
PAY582,ORD23852,1,credit_card,7,77.6
PAY583,ORD47739,1,credit_card,1,197.04
PAY584,ORD96631,1,credit_card,1,93.18
PAY585,ORD26558,1,boleto,1,44.72
