product_id_pref;product_category_name;product_name_lenght;product_description_lenght;product_photos_qty;product_weight_g;product_length_cm;product_height_cm;product_width_cm
PRO149;automotivo;58,0;386,0;1,0;27100,0;50,0;50,0;50,0
PRO150;eletrodomesticos;50,0;273,0;1,0;1500,0;65,0;8,0;38,0
PRO151;relogios_presentes;43,0;572,0;2,0;500,0;16,0;11,0;11,0
PRO152;cama_mesa_banho;52,0;700,0;2,0;350,0;16,0;10,0;16,0
PRO153;automotivo;47,0;1548,0;3,0;500,0;16,0;12,0;17,0
PRO154;esporte_lazer;55,0;448,0;1,0;1000,0;20,0;20,0;20,0
PRO155;;;;;18500,0;41,0;30,0;41,0
PRO156;brinquedos;51,0;410,0;2,0;300,0;24,0;11,0;24,0
PRO157;beleza_saude;59,0;257,0;1,0;250,0;16,0;2,0;20,0
PRO158;beleza_saude;51,0;863,0;1,0;10700,0;40,0;40,0;40,0
PRO159;utilidades_domesticas;29,0;290,0;1,0;1700,0;32,0;21,0;22,0
PRO160;ferramentas_jardim;31,0;680,0;1,0;7700,0;39,0;28,0;25,0
PRO161;esporte_lazer;57,0;785,0;4,0;5200,0;20,0;60,0;35,0
PRO162;telefonia;51,0;244,0;1,0;125,0;17,0;10,0;14,0
PRO163;moveis_escritorio;50,0;2220,0;1,0;15700,0;58,0;28,0;58,0
PRO164;relogios_presentes;53,0;599,0;2,0;350,0;16,0;11,0;11,0
PRO165;esporte_lazer;57,0;649,0;1,0;213,0;16,0;10,0;13,0
PRO166;fashion_bolsas_e_acessorios;30,0;401,0;3,0;150,0;16,0;11,0;11,0
PRO167;automotivo;35,0;907,0;3,0;18200,0;56,0;15,0;15,0
PRO168;utilidades_domesticas;38,0;390,0;1,0;850,0;18,0;21,0;15,0
PRO169;casa_construcao;55,0;918,0;6,0;1050,0;16,0;20,0;16,0
PRO170;fashion_bolsas_e_acessorios;48,0;382,0;5,0;200,0;16,0;9,0;11,0
PRO171;utilidades_domesticas;32,0;42,0;1,0;300,0;16,0;15,0;11,0
PRO172;informatica_acessorios;47,0;764,0;1,0;200,0;23,0;9,0;13,0
PRO173;esporte_lazer;52,0;406,0;1,0;800,0;20,0;25,0;25,0
PRO174;papelaria;50,0;198,0;2,0;200,0;24,0;7,0;14,0
PRO175;esporte_lazer;50,0;853,0;1,0;698,0;46,0;10,0;14,0
PRO176;telefonia;59,0;776,0;6,0;350,0;17,0;4,0;12,0
PRO177;livros_interesse_geral;50,0;2913,0;3,0;1000,0;24,0;5,0;17,0
PRO178;informatica_acessorios;53,0;585,0;1,0;783,0;21,0;13,0;28,0
PRO179;perfumaria;48,0;1063,0;2,0;600,0;20,0;20,0;20,0
PRO180;brinquedos;47,0;181,0;1,0;11650,0;55,0;30,0;30,0
PRO181;construcao_ferramentas_ferramentas;42,0;369,0;1,0;400,0;16,0;2,0;11,0
PRO182;brinquedos;25,0;274,0;1,0;3050,0;40,0;10,0;40,0
PRO183;telefonia;50,0;744,0;1,0;100,0;16,0;3,0;11,0
PRO184;ferramentas_jardim;44,0;2395,0;1,0;16500,0;40,0;25,0;26,0
PRO185;utilidades_domesticas;59,0;470,0;2,0;750,0;34,0;14,0;24,0
PRO186;fashion_underwear_e_moda_praia;39,0;422,0;1,0;250,0;36,0;4,0;20,0
PRO187;malas_acessorios;59,0;413,0;3,0;2300,0;84,0;14,0;20,0
PRO188;eletronicos;37,0;374,0;1,0;1350,0;33,0;12,0;26,0
PRO189;utilidades_domesticas;22,0;388,0;3,0;530,0;17,0;20,0;20,0
PRO190;automotivo;59,0;162,0;1,0;1300,0;20,0;20,0;20,0
PRO191;fashion_calcados;59,0;605,0;5,0;4000,0;57,0;14,0;36,0
PRO192;esporte_lazer;52,0;234,0;4,0;8150,0;20,0;20,0;20,0
PRO193;construcao_ferramentas_construcao;57,0;272,0;1,0;2200,0;16,0;2,0;11,0
PRO194;beleza_saude;55,0;1029,0;1,0;1150,0;20,0;25,0;20,0
PRO195;relogios_presentes;60,0;312,0;4,0;200,0;16,0;2,0;11,0
PRO196;moveis_decoracao;60,0;1068,0;3,0;400,0;16,0;20,0;16,0
PRO197;moveis_decoracao;63,0;244,0;4,0;600,0;29,0;12,0;23,0
PRO198;;;;;300,0;35,0;7,0;12,0
PRO199;cama_mesa_banho;48,0;645,0;1,0;1200,0;16,0;10,0;16,0
PRO200;cool_stuff;50,0;268,0;5,0;10664,0;61,0;63,0;35,0
PRO201;utilidades_domesticas;43,0;2148,0;2,0;1800,0;50,0;12,0;36,0
PRO202;esporte_lazer;47,0;154,0;3,0;500,0;16,0;2,0;11,0
PRO203;papelaria;48,0;501,0;1,0;258,0;19,0;12,0;19,0
PRO204;papelaria;59,0;209,0;1,0;1400,0;16,0;44,0;37,0
PRO205;brinquedos;59,0;640,0;1,0;400,0;35,0;7,0;35,0
PRO206;climatizacao;58,0;655,0;5,0;1300,0;30,0;10,0;30,0
PRO207;cama_mesa_banho;55,0;315,0;2,0;1000,0;30,0;10,0;25,0
PRO208;pet_shop;52,0;1290,0;3,0;1300,0;30,0;10,0;18,0
PRO209;brinquedos;58,0;443,0;2,0;3305,0;38,0;36,0;19,0
PRO210;bebes;55,0;224,0;2,0;6000,0;75,0;15,0;50,0
PRO211;informatica_acessorios;50,0;281,0;4,0;300,0;35,0;5,0;25,0
PRO212;cama_mesa_banho;57,0;74,0;1,0;250,0;20,0;2,0;15,0
PRO213;perfumaria;45,0;1003,0;2,0;400,0;18,0;11,0;11,0
PRO214;eletronicos;32,0;1274,0;1,0;250,0;16,0;10,0;30,0
PRO215;brinquedos;57,0;1532,0;2,0;1250,0;29,0;19,0;22,0
PRO216;fashion_roupa_masculina;47,0;1026,0;2,0;950,0;40,0;6,0;40,0
PRO217;pet_shop;54,0;261,0;6,0;2000,0;30,0;34,0;17,0
PRO218;bebes;56,0;1395,0;7,0;13575,0;71,0;81,0;44,0
PRO219;beleza_saude;60,0;537,0;1,0;667,0;17,0;16,0;16,0
PRO220;relogios_presentes;55,0;457,0;2,0;267,0;17,0;11,0;12,0
PRO221;cama_mesa_banho;60,0;609,0;2,0;1750,0;45,0;20,0;40,0
PRO222;beleza_saude;52,0;1113,0;1,0;150,0;16,0;12,0;11,0
PRO223;brinquedos;48,0;135,0;1,0;10550,0;65,0;7,0;45,0
PRO224;utilidades_domesticas;57,0;1298,0;1,0;1725,0;100,0;35,0;16,0
PRO225;malas_acessorios;43,0;215,0;1,0;700,0;45,0;10,0;31,0
PRO226;esporte_lazer;29,0;1318,0;1,0;400,0;34,0;16,0;16,0
PRO227;papelaria;23,0;146,0;3,0;300,0;30,0;10,0;20,0
PRO228;casa_construcao;59,0;1582,0;1,0;5850,0;60,0;25,0;25,0
PRO229;relogios_presentes;47,0;687,0;1,0;267,0;17,0;11,0;13,0
PRO230;cama_mesa_banho;53,0;155,0;2,0;1500,0;39,0;12,0;25,0
PRO231;cool_stuff;42,0;727,0;1,0;400,0;24,0;16,0;14,0
PRO232;esporte_lazer;54,0;3830,0;1,0;1300,0;31,0;32,0;31,0
PRO233;utilidades_domesticas;58,0;172,0;1,0;400,0;16,0;10,0;14,0
PRO234;artes;32,0;195,0;1,0;150,0;25,0;2,0;19,0
PRO235;beleza_saude;40,0;654,0;1,0;650,0;25,0;13,0;14,0
PRO236;consoles_games;44,0;421,0;1,0;706,0;32,0;8,0;38,0
PRO237;fashion_bolsas_e_acessorios;59,0;251,0;1,0;300,0;25,0;10,0;25,0
PRO238;cama_mesa_banho;41,0;242,0;1,0;4850,0;75,0;5,0;50,0
PRO239;automotivo;51,0;1741,0;1,0;825,0;20,0;24,0;15,0
PRO240;informatica_acessorios;31,0;432,0;1,0;600,0;46,0;3,0;15,0
PRO241;esporte_lazer;53,0;527,0;2,0;700,0;23,0;9,0;11,0
PRO242;moveis_decoracao;51,0;1442,0;1,0;300,0;40,0;10,0;27,0
PRO243;utilidades_domesticas;55,0;471,0;2,0;1270,0;17,0;14,0;17,0
PRO244;construcao_ferramentas_ferramentas;40,0;338,0;1,0;450,0;20,0;2,0;11,0
PRO245;;;;;2200,0;16,0;2,0;11,0
PRO246;eletrodomesticos;56,0;173,0;1,0;150,0;18,0;8,0;13,0
PRO247;ferramentas_jardim;49,0;192,0;1,0;200,0;16,0;3,0;11,0
PRO248;moveis_cozinha_area_de_servico_jantar_e_jardim;50,0;859,0;1,0;10893,0;33,0;88,0;44,0
PRO249;utilidades_domesticas;53,0;524,0;1,0;1800,0;25,0;7,0;20,0
PRO250;brinquedos;29,0;566,0;2,0;1220,0;20,0;33,0;22,0
PRO251;beleza_saude;53,0;1368,0;6,0;360,0;30,0;19,0;22,0
PRO252;eletronicos;52,0;424,0;1,0;175,0;22,0;11,0;15,0
PRO253;pet_shop;50,0;852,0;1,0;1900,0;50,0;13,0;70,0
PRO254;esporte_lazer;37,0;621,0;5,0;250,0;20,0;20,0;20,0
PRO255;bebes;58,0;1261,0;3,0;6950,0;85,0;11,0;50,0
PRO256;utilidades_domesticas;57,0;1094,0;1,0;1100,0;55,0;5,0;40,0
PRO257;bebes;64,0;882,0;5,0;300,0;17,0;7,0;24,0
PRO258;moveis_escritorio;41,0;2261,0;1,0;16500,0;58,0;28,0;58,0
PRO259;malas_acessorios;28,0;453,0;1,0;300,0;16,0;23,0;19,0
PRO260;eletronicos;25,0;813,0;1,0;1836,0;61,0;6,0;24,0
PRO261;beleza_saude;59,0;822,0;1,0;175,0;18,0;22,0;16,0
PRO262;brinquedos;53,0;579,0;1,0;675,0;22,0;24,0;21,0
PRO263;esporte_lazer;58,0;568,0;4,0;200,0;26,0;5,0;20,0
PRO264;industria_comercio_e_negocios;58,0;1058,0;1,0;1200,0;30,0;20,0;30,0
PRO265;informatica_acessorios;32,0;1074,0;2,0;200,0;39,0;2,0;30,0
PRO266;moveis_escritorio;46,0;1193,0;2,0;16100,0;63,0;61,0;24,0
PRO267;telefonia;51,0;443,0;1,0;117,0;19,0;4,0;12,0
PRO268;telefonia_fixa;27,0;1217,0;1,0;455,0;36,0;18,0;27,0
PRO269;cama_mesa_banho;55,0;613,0;1,0;550,0;16,0;10,0;16,0
PRO270;fashion_calcados;54,0;404,0;4,0;750,0;22,0;12,0;33,0
PRO271;cool_stuff;43,0;447,0;2,0;586,0;18,0;11,0;13,0
PRO272;construcao_ferramentas_iluminacao;57,0;919,0;6,0;540,0;16,0;27,0;16,0
PRO273;esporte_lazer;42,0;2819,0;1,0;3700,0;30,0;20,0;20,0
PRO274;utilidades_domesticas;57,0;623,0;4,0;3150,0;30,0;17,0;30,0
PRO275;cama_mesa_banho;57,0;296,0;1,0;2100,0;53,0;27,0;40,0
PRO276;construcao_ferramentas_seguranca;51,0;1006,0;3,0;314,0;20,0;19,0;18,0
PRO277;cama_mesa_banho;49,0;153,0;1,0;550,0;23,0;15,0;23,0
PRO278;automotivo;55,0;978,0;1,0;13825,0;70,0;35,0;49,0
PRO279;cama_mesa_banho;42,0;431,0;1,0;850,0;40,0;6,0;50,0
PRO280;bebes;19,0;200,0;1,0;250,0;21,0;4,0;13,0
PRO281;brinquedos;55,0;1475,0;1,0;400,0;20,0;20,0;20,0
PRO282;perfumaria;48,0;606,0;2,0;400,0;16,0;20,0;15,0
PRO283;consoles_games;25,0;211,0;1,0;200,0;16,0;2,0;16,0
PRO284;automotivo;60,0;1023,0;5,0;250,0;20,0;20,0;20,0
PRO285;informatica_acessorios;53,0;813,0;4,0;1950,0;17,0;11,0;12,0
PRO286;moveis_decoracao;49,0;607,0;1,0;300,0;35,0;10,0;25,0
PRO287;relogios_presentes;54,0;364,0;1,0;1050,0;30,0;45,0;11,0
PRO288;automotivo;53,0;1373,0;4,0;400,0;16,0;7,0;11,0
PRO289;instrumentos_musicais;40,0;234,0;1,0;1000,0;56,0;9,0;22,0
PRO290;esporte_lazer;39,0;772,0;1,0;150,0;16,0;16,0;11,0
PRO291;beleza_saude;60,0;876,0;1,0;700,0;16,0;16,0;16,0
PRO292;consoles_games;47,0;358,0;3,0;450,0;17,0;7,0;17,0
PRO293;beleza_saude;29,0;556,0;1,0;2000,0;30,0;12,0;16,0
PRO294;construcao_ferramentas_construcao;57,0;954,0;4,0;21400,0;20,0;20,0;20,0
PRO295;;;;;300,0;16,0;7,0;11,0
PRO296;informatica_acessorios;52,0;2515,0;1,0;188,0;20,0;16,0;15,0
PRO297;moveis_decoracao;56,0;646,0;1,0;300,0;16,0;30,0;20,0
PRO298;fashion_bolsas_e_acessorios;38,0;487,0;2,0;13600,0;26,0;60,0;40,0
PRO299;moveis_decoracao;50,0;1342,0;3,0;800,0;25,0;25,0;25,0
PRO300;;;;;300,0;18,0;8,0;14,0
PRO301;moveis_decoracao;49,0;600,0;2,0;1400,0;65,0;12,0;12,0
PRO302;relogios_presentes;50,0;295,0;1,0;650,0;13,0;11,0;12,0
PRO303;construcao_ferramentas_construcao;37,0;2457,0;1,0;600,0;26,0;17,0;17,0
PRO304;moveis_decoracao;58,0;1969,0;2,0;3000,0;69,0;11,0;11,0
PRO305;malas_acessorios;45,0;224,0;1,0;950,0;46,0;10,0;33,0
PRO306;moveis_decoracao;51,0;582,0;2,0;17400,0;42,0;35,0;42,0
PRO307;fashion_roupa_masculina;36,0;940,0;2,0;300,0;16,0;2,0;11,0
PRO308;informatica_acessorios;52,0;1224,0;2,0;700,0;20,0;20,0;20,0
PRO309;pet_shop;56,0;1545,0;2,0;625,0;21,0;16,0;17,0
PRO310;ferramentas_jardim;44,0;586,0;3,0;3250,0;32,0;14,0;22,0
PRO311;fashion_calcados;57,0;404,0;2,0;1500,0;22,0;12,0;33,0
PRO312;cama_mesa_banho;54,0;228,0;1,0;250,0;32,0;3,0;23,0
PRO313;ferramentas_jardim;41,0;198,0;1,0;425,0;31,0;6,0;12,0
PRO314;climatizacao;56,0;1161,0;1,0;150,0;20,0;8,0;13,0
PRO315;moveis_decoracao;56,0;2028,0;3,0;350,0;68,0;8,0;13,0
PRO316;fashion_calcados;44,0;284,0;12,0;300,0;29,0;7,0;16,0
PRO317;telefonia;49,0;276,0;12,0;100,0;19,0;3,0;11,0
PRO318;automotivo;55,0;1658,0;3,0;550,0;16,0;21,0;18,0
PRO319;automotivo;59,0;1250,0;1,0;250,0;16,0;27,0;15,0
PRO320;automotivo;60,0;1541,0;1,0;1000,0;26,0;40,0;20,0
PRO321;utilidades_domesticas;55,0;998,0;3,0;14850,0;35,0;102,0;35,0
PRO322;bebes;46,0;726,0;3,0;850,0;42,0;25,0;15,0
PRO323;consoles_games;56,0;3354,0;4,0;1850,0;28,0;14,0;19,0
PRO324;fashion_bolsas_e_acessorios;54,0;1399,0;1,0;300,0;16,0;2,0;11,0
PRO325;telefonia;61,0;212,0;1,0;200,0;19,0;4,0;11,0
PRO326;beleza_saude;46,0;803,0;1,0;150,0;22,0;3,0;15,0
PRO327;esporte_lazer;55,0;1392,0;1,0;900,0;16,0;16,0;16,0
PRO328;ferramentas_jardim;52,0;497,0;1,0;1900,0;44,0;19,0;19,0
PRO329;cama_mesa_banho;50,0;171,0;1,0;1450,0;45,0;10,0;15,0
PRO330;livros_tecnicos;54,0;1162,0;1,0;1100,0;29,0;3,0;21,0
PRO331;esporte_lazer;54,0;1241,0;5,0;200,0;16,0;11,0;11,0
PRO332;esporte_lazer;43,0;1440,0;1,0;12600,0;20,0;10,0;20,0
PRO333;beleza_saude;21,0;1000,0;1,0;1450,0;25,0;25,0;16,0
PRO334;cool_stuff;49,0;733,0;3,0;800,0;42,0;25,0;15,0
